id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
215,16-07-85,11:41,11:46,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
216,16-07-85,11:49,12:03,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
217,16-07-85,12:00,12:04,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
218,16-07-85,12:18,12:21,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
219,16-07-85,12:31,12:36,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
220,16-07-85,12:43,12:52,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
221,29-07-85,10:44,10:49,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
222,29-07-85,10:50,11:15,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
223,29-07-85,11:25,11:30,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
224,29-07-85,11:31,11:51,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
225,29-07-85,12:29,12:34,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
226,29-07-85,12:40,12:45,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
227,29-07-85,11:59,12:05,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
228,29-07-85,12:06,12:20,1,1,T2,,,,,,,,,,,,,,,,,,,,,,,,
229,14-08-85,11:39,11:43,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
230,14-08-85,11:48,11:59,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
231,14-08-85,12:08,12:13,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
232,14-08-85,12:18,12:48,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
233,14-08-85,12:58,13:01,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
234,14-08-85,13:03,13:23,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
